case,n_F,AverageVel_x,AverageVel_y,AverageVel_z,LatticeViscosity,GradPx,Permeability_x,Permeability_y,Permeability_z
1,0.7661625,3.48599E-06,3.74913E-06,4.18494E-06,0.166667,2.51256E-07,2.31237,2.48692,2.77601
2,0.7826965,4.9853E-06,5.5092E-06,5.57589E-06,0.166667,2.51256E-07,3.30691,3.65444,3.69868
3,0.791185249999999,5.26598E-06,5.92231E-06,5.92044E-06,0.166667,2.51256E-07,3.4931,3.92847,3.92723
4,0.774057249999999,3.41743E-06,3.72016E-06,4.29261E-06,0.166667,2.51256E-07,2.26689,2.4677,2.84743
5,0.776779875,3.41538E-06,3.76134E-06,4.68006E-06,0.166667,2.51256E-07,2.26553,2.49502,3.10444
6,0.777623874999999,3.70516E-06,3.7271E-06,5.02773E-06,0.166667,2.51256E-07,2.45775,2.47231,3.33506
7,0.781116375,4.07813E-06,4.07676E-06,4.77776E-06,0.166667,2.51256E-07,2.70516,2.70425,3.16925
8,0.7877865,4.51612E-06,4.61172E-06,5.0486E-06,0.166667,2.51256E-07,2.99569,3.05911,3.3489
9,0.791656124999999,4.68077E-06,5.13631E-06,4.79761E-06,0.166667,2.51256E-07,3.10491,3.40708,3.18241
10,0.78731175,4.17731E-06,4.97064E-06,4.7523E-06,0.166667,2.51256E-07,2.77095,3.29719,3.15236
11,0.784557625,4.11997E-06,4.6321E-06,4.60561E-06,0.166667,2.51256E-07,2.73291,3.07263,3.05505
12,0.774539625,4.11533E-06,4.49362E-06,3.96438E-06,0.166667,2.51256E-07,2.72984,2.98077,2.6297
13,0.780415,4.32799E-06,4.10404E-06,4.68298E-06,0.166667,2.51256E-07,2.8709,2.72234,3.10638
14,0.782170375,4.60825E-06,5.08394E-06,5.00162E-06,0.166667,2.51256E-07,3.05681,3.37235,3.31774
15,0.7827605,3.59165E-06,3.72849E-06,4.63398E-06,0.166667,2.51256E-07,2.38246,2.47323,3.07387
16,0.784564875,3.64393E-06,3.79874E-06,4.87725E-06,0.166667,2.51256E-07,2.41714,2.51983,3.23525
17,0.790494,4.15111E-06,4.09882E-06,5.62556E-06,0.166667,2.51256E-07,2.75357,2.71888,3.73162
18,0.795227875,4.59967E-06,4.80597E-06,5.41339E-06,0.166667,2.51256E-07,3.05111,3.18796,3.59088
19,0.79363675,4.5738E-06,4.97701E-06,5.0933E-06,0.166667,2.51256E-07,3.03395,3.30142,3.37856
20,0.794638375,4.85894E-06,5.26455E-06,4.81617E-06,0.166667,2.51256E-07,3.2231,3.49215,3.19472
21,0.797240625,4.62767E-06,5.43702E-06,5.13158E-06,0.166667,2.51256E-07,3.06969,3.60656,3.40395
22,0.794667,4.44355E-06,5.18791E-06,5.61086E-06,0.166667,2.51256E-07,2.94755,3.44132,3.72187
23,0.78106925,4.37401E-06,4.52103E-06,4.56552E-06,0.166667,2.51256E-07,2.90143,2.99895,3.02846
24,0.78558775,4.43222E-06,4.45157E-06,5.29794E-06,0.166667,2.51256E-07,2.94004,2.95287,3.5143
25,0.785811375,4.74965E-06,5.08656E-06,5.51905E-06,0.166667,2.51256E-07,3.1506,3.37409,3.66097
